Period,Label1,Value
2016-10-30,Total,16811
2016-10-31,New Zealand passport,5938
2016-10-31,Other passports,8718
2016-10-31,Total,14656
2016-11-01,New Zealand passport,5478
2016-11-01,Other passports,7641
2016-11-01,Total,13119
2016-11-02,New Zealand passport,6777
2016-11-02,Other passports,7681
2016-11-02,Total,14458
2016-11-03,New Zealand passport,6977
2016-11-03,Other passports,7328
2016-11-03,Total,14305
2016-11-04,New Zealand passport,7487
2016-11-04,Other passports,8811
2016-11-04,Total,16298
2016-11-05,New Zealand passport,6858
2016-11-05,Other passports,9308
2016-11-05,Total,16166
2016-11-06,New Zealand passport,6566
2016-11-06,Other passports,10370
2016-11-06,Total,16936
2016-11-07,New Zealand passport,6079
2016-11-07,Other passports,9398
2016-11-07,Total,15477
2016-11-08,New Zealand passport,5211
2016-11-08,Other passports,8143
2016-11-08,Total,13354
2016-11-09,New Zealand passport,6655
2016-11-09,Other passports,8528
2016-11-09,Total,15183
2016-11-10,New Zealand passport,7132
2016-11-10,Other passports,8368
2016-11-10,Total,15500
2016-11-11,New Zealand passport,7898
2016-11-11,Other passports,10418
2016-11-11,Total,18316
2016-11-12,New Zealand passport,7017
2016-11-12,Other passports,10992
2016-11-12,Total,18009
2016-11-13,New Zealand passport,6673
2016-11-13,Other passports,11090
2016-11-13,Total,17763
2016-11-14,New Zealand passport,6392
2016-11-14,Other passports,12350
2016-11-14,Total,18742
2016-11-15,New Zealand passport,5545
2016-11-15,Other passports,9344
2016-11-15,Total,14889
2016-11-16,New Zealand passport,6959
2016-11-16,Other passports,9951
2016-11-16,Total,16910
2016-11-17,New Zealand passport,7109
2016-11-17,Other passports,9908
2016-11-17,Total,17017
2016-11-18,New Zealand passport,7752
2016-11-18,Other passports,11650
2016-11-18,Total,19402
2016-11-19,New Zealand passport,6614
2016-11-19,Other passports,11289
2016-11-19,Total,17903
2016-11-20,New Zealand passport,6525
2016-11-20,Other passports,11684
2016-11-20,Total,18209
2016-11-21,New Zealand passport,6100
2016-11-21,Other passports,11388
2016-11-21,Total,17488
2016-11-22,New Zealand passport,5226
2016-11-22,Other passports,9880
2016-11-22,Total,15106
2016-11-23,New Zealand passport,6626
2016-11-23,Other passports,11057
2016-11-23,Total,17683
2016-11-24,New Zealand passport,6805
2016-11-24,Other passports,10318
2016-11-24,Total,17123
2016-11-25,New Zealand passport,7140
2016-11-25,Other passports,12621
2016-11-25,Total,19761
2016-11-26,New Zealand passport,6868
2016-11-26,Other passports,13387
2016-11-26,Total,20255
2016-11-27,New Zealand passport,6372
2016-11-27,Other passports,13194
2016-11-27,Total,19566
2016-11-28,New Zealand passport,6600
2016-11-28,Other passports,13078
2016-11-28,Total,19678
2016-11-29,New Zealand passport,5495
2016-11-29,Other passports,10866
2016-11-29,Total,16361
2016-11-30,New Zealand passport,6617
2016-11-30,Other passports,12069
2016-11-30,Total,18686
2016-12-01,New Zealand passport,6763
2016-12-01,Other passports,10942
2016-12-01,Total,17705
2016-12-02,New Zealand passport,6935
2016-12-02,Other passports,12873
2016-12-02,Total,19808
2016-12-03,New Zealand passport,6520
2016-12-03,Other passports,13129
2016-12-03,Total,19649
2016-12-04,New Zealand passport,6013
2016-12-04,Other passports,12372
2016-12-04,Total,18385
2016-12-05,New Zealand passport,6231
2016-12-05,Other passports,13587
2016-12-05,Total,19818
2016-12-06,New Zealand passport,5146
2016-12-06,Other passports,11076
2016-12-06,Total,16222
2016-12-07,New Zealand passport,5886
2016-12-07,Other passports,10824
2016-12-07,Total,16710
2016-12-08,New Zealand passport,6383
2016-12-08,Other passports,11048
2016-12-08,Total,17431
2016-12-09,New Zealand passport,7181
2016-12-09,Other passports,14191
2016-12-09,Total,21372
2016-12-10,New Zealand passport,6139
2016-12-10,Other passports,12706
2016-12-10,Total,18845
2016-12-11,New Zealand passport,6341
2016-12-11,Other passports,13606
2016-12-11,Total,19947
2016-12-12,New Zealand passport,6382
2016-12-12,Other passports,12545
2016-12-12,Total,18927
2016-12-13,New Zealand passport,5492
2016-12-13,Other passports,11182
2016-12-13,Total,16674
2016-12-14,New Zealand passport,7065
2016-12-14,Other passports,12689
2016-12-14,Total,19754
2016-12-15,New Zealand passport,7114
2016-12-15,Other passports,11621
2016-12-15,Total,18735
2016-12-16,New Zealand passport,7915
2016-12-16,Other passports,15215
2016-12-16,Total,23130
2016-12-17,New Zealand passport,8467
2016-12-17,Other passports,11871
2016-12-17,Total,20338
2016-12-18,New Zealand passport,8288
2016-12-18,Other passports,12324
2016-12-18,Total,20612
2016-12-19,New Zealand passport,8116
2016-12-19,Other passports,12694
2016-12-19,Total,20810
2016-12-20,New Zealand passport,8143
2016-12-20,Other passports,11297
2016-12-20,Total,19440
2016-12-21,New Zealand passport,8938
2016-12-21,Other passports,12327
2016-12-21,Total,21265
2016-12-22,New Zealand passport,10811
2016-12-22,Other passports,13770
2016-12-22,Total,24581
2016-12-23,New Zealand passport,11885
2016-12-23,Other passports,12577
2016-12-23,Total,24462
2016-12-24,New Zealand passport,11359
2016-12-24,Other passports,11368
2016-12-24,Total,22727
2016-12-25,New Zealand passport,9274
2016-12-25,Other passports,8751
2016-12-25,Total,18025
2016-12-26,New Zealand passport,11586
2016-12-26,Other passports,9176
2016-12-26,Total,20762
2016-12-27,New Zealand passport,11017
2016-12-27,Other passports,11489
2016-12-27,Total,22506
2016-12-28,New Zealand passport,9919
2016-12-28,Other passports,11988
2016-12-28,Total,21907
2016-12-29,New Zealand passport,9242
2016-12-29,Other passports,13619
2016-12-29,Total,22861
2016-12-30,New Zealand passport,8208
2016-12-30,Other passports,14686
2016-12-30,Total,22894
2016-12-31,New Zealand passport,7953
2016-12-31,Other passports,14275
2016-12-31,Total,22228
2017-01-01,New Zealand passport,6739
2017-01-01,Other passports,14186
2017-01-01,Total,20925
2017-01-02,New Zealand passport,7715
2017-01-02,Other passports,16496
2017-01-02,Total,24211
2017-01-03,New Zealand passport,7595
2017-01-03,Other passports,14703
2017-01-03,Total,22298
2017-01-04,New Zealand passport,7769
2017-01-04,Other passports,14499
2017-01-04,Total,22268
2017-01-05,New Zealand passport,7846
2017-01-05,Other passports,14926
2017-01-05,Total,22772
2017-01-06,New Zealand passport,7733
2017-01-06,Other passports,15698
2017-01-06,Total,23431
2017-01-07,New Zealand passport,8239
2017-01-07,Other passports,16993
2017-01-07,Total,25232
2017-01-08,New Zealand passport,8035
2017-01-08,Other passports,16187
2017-01-08,Total,24222
2017-01-09,New Zealand passport,8523
2017-01-09,Other passports,15172
2017-01-09,Total,23695
2017-01-10,New Zealand passport,7343
2017-01-10,Other passports,14027
2017-01-10,Total,21370
2017-01-11,New Zealand passport,7510
2017-01-11,Other passports,13476
2017-01-11,Total,20986
2017-01-12,New Zealand passport,7040
2017-01-12,Other passports,14159
2017-01-12,Total,21199
2017-01-13,New Zealand passport,7646
2017-01-13,Other passports,14370
2017-01-13,Total,22016
2017-01-14,New Zealand passport,7758
2017-01-14,Other passports,14891
2017-01-14,Total,22649
2017-01-15,New Zealand passport,7815
2017-01-15,Other passports,14412
2017-01-15,Total,22227
2017-01-16,New Zealand passport,8472
2017-01-16,Other passports,13283
2017-01-16,Total,21755
2017-01-17,New Zealand passport,7283
2017-01-17,Other passports,12550
2017-01-17,Total,19833
2017-01-18,New Zealand passport,7583
2017-01-18,Other passports,12106
2017-01-18,Total,19689
2017-01-19,New Zealand passport,7265
2017-01-19,Other passports,12300
2017-01-19,Total,19565
2017-01-20,New Zealand passport,7809
2017-01-20,Other passports,14022
2017-01-20,Total,21831
2017-01-21,New Zealand passport,7494
2017-01-21,Other passports,12741
2017-01-21,Total,20235
2017-01-22,New Zealand passport,6794
2017-01-22,Other passports,12435
2017-01-22,Total,19229
2017-01-23,New Zealand passport,6883
2017-01-23,Other passports,13002
2017-01-23,Total,19885
2017-01-24,New Zealand passport,5266
2017-01-24,Other passports,12150
2017-01-24,Total,17416
2017-01-25,New Zealand passport,5718
2017-01-25,Other passports,12441
2017-01-25,Total,18159
2017-01-26,New Zealand passport,5375
2017-01-26,Other passports,13079
2017-01-26,Total,18454
2017-01-27,New Zealand passport,6293
2017-01-27,Other passports,12171
2017-01-27,Total,18464
2017-01-28,New Zealand passport,6007
2017-01-28,Other passports,12919
2017-01-28,Total,18926
2017-01-29,New Zealand passport,5584
2017-01-29,Other passports,13634
2017-01-29,Total,19218
2017-01-30,New Zealand passport,5693
2017-01-30,Other passports,15520
2017-01-30,Total,21213
2017-01-31,New Zealand passport,4467
2017-01-31,Other passports,11875
2017-01-31,Total,16342
2017-02-01,New Zealand passport,5220
2017-02-01,Other passports,12079
2017-02-01,Total,17299
2017-02-02,New Zealand passport,5413
2017-02-02,Other passports,11863
2017-02-02,Total,17276
2017-02-03,New Zealand passport,7015
2017-02-03,Other passports,13179
2017-02-03,Total,20194
2017-02-04,New Zealand passport,6075
2017-02-04,Other passports,13308
2017-02-04,Total,19383
2017-02-05,New Zealand passport,5369
2017-02-05,Other passports,12548
2017-02-05,Total,17917
2017-02-06,New Zealand passport,5230
2017-02-06,Other passports,14276
2017-02-06,Total,19506
2017-02-07,New Zealand passport,6928
2017-02-07,Other passports,12135
2017-02-07,Total,19063
2017-02-08,New Zealand passport,5364
2017-02-08,Other passports,11590
2017-02-08,Total,16954
2017-02-09,New Zealand passport,5769
2017-02-09,Other passports,11069
2017-02-09,Total,16838
2017-02-10,New Zealand passport,6759
2017-02-10,Other passports,13807
2017-02-10,Total,20566
2017-02-11,New Zealand passport,5846
2017-02-11,Other passports,13266
2017-02-11,Total,19112
2017-02-12,New Zealand passport,6023
2017-02-12,Other passports,13570
2017-02-12,Total,19593
2017-02-13,New Zealand passport,5733
2017-02-13,Other passports,12698
2017-02-13,Total,18431
2017-02-14,New Zealand passport,4793
2017-02-14,Other passports,11138
2017-02-14,Total,15931
2017-02-15,New Zealand passport,5386
2017-02-15,Other passports,12298
2017-02-15,Total,17684
2017-02-16,New Zealand passport,5412
2017-02-16,Other passports,11457
2017-02-16,Total,16869
2017-02-17,New Zealand passport,6335
2017-02-17,Other passports,13620
2017-02-17,Total,19955
2017-02-18,New Zealand passport,5548
2017-02-18,Other passports,14910
2017-02-18,Total,20458
2017-02-19,New Zealand passport,5759
2017-02-19,Other passports,15590
2017-02-19,Total,21349
2017-02-20,New Zealand passport,7225
2017-02-20,Other passports,16115
2017-02-20,Total,23340
2017-02-21,New Zealand passport,4472
2017-02-21,Other passports,12043
2017-02-21,Total,16515
2017-02-22,New Zealand passport,5732
2017-02-22,Other passports,13441
2017-02-22,Total,19173
2017-02-23,New Zealand passport,5697
2017-02-23,Other passports,15203
2017-02-23,Total,20900
2017-02-24,New Zealand passport,6342
2017-02-24,Other passports,15134
2017-02-24,Total,21476
2017-02-25,New Zealand passport,5556
2017-02-25,Other passports,15569
2017-02-25,Total,21125
2017-02-26,New Zealand passport,5969
2017-02-26,Other passports,15662
2017-02-26,Total,21631
2017-02-27,New Zealand passport,6142
2017-02-27,Other passports,15833
2017-02-27,Total,21975
2017-02-28,New Zealand passport,4951
2017-02-28,Other passports,13413
2017-02-28,Total,18364
2017-03-01,New Zealand passport,7080
2017-03-01,Other passports,15405
2017-03-01,Total,22485
2017-03-02,New Zealand passport,6500
2017-03-02,Other passports,11635
2017-03-02,Total,18135
2017-03-03,New Zealand passport,7521
2017-03-03,Other passports,14084
2017-03-03,Total,21605
2017-03-04,New Zealand passport,6750
2017-03-04,Other passports,13550
2017-03-04,Total,20300
2017-03-05,New Zealand passport,5972
2017-03-05,Other passports,13618
2017-03-05,Total,19590
2017-03-06,New Zealand passport,6125
2017-03-06,Other passports,12428
2017-03-06,Total,18553
2017-03-07,New Zealand passport,5474
2017-03-07,Other passports,11472
2017-03-07,Total,16946
2017-03-08,New Zealand passport,6225
2017-03-08,Other passports,11375
2017-03-08,Total,17600
2017-03-09,New Zealand passport,6523
2017-03-09,Other passports,11289
2017-03-09,Total,17812
2017-03-10,New Zealand passport,7338
2017-03-10,Other passports,12774
2017-03-10,Total,20112
2017-03-11,New Zealand passport,6268
2017-03-11,Other passports,13792
2017-03-11,Total,20060
2017-03-12,New Zealand passport,5900
2017-03-12,Other passports,13723
2017-03-12,Total,19623
2017-03-13,New Zealand passport,7743
2017-03-13,Other passports,13642
2017-03-13,Total,21385
2017-03-14,New Zealand passport,5551
2017-03-14,Other passports,10780
2017-03-14,Total,16331
2017-03-15,New Zealand passport,6278
2017-03-15,Other passports,12154
2017-03-15,Total,18432
2017-03-16,New Zealand passport,6379
2017-03-16,Other passports,10596
2017-03-16,Total,16975
2017-03-17,New Zealand passport,7393
2017-03-17,Other passports,12886
2017-03-17,Total,20279
2017-03-18,New Zealand passport,6571
2017-03-18,Other passports,13007
2017-03-18,Total,19578
2017-03-19,New Zealand passport,6357
2017-03-19,Other passports,14297
2017-03-19,Total,20654
2017-03-20,New Zealand passport,6275
2017-03-20,Other passports,12379
2017-03-20,Total,18654
2017-03-21,New Zealand passport,5362
2017-03-21,Other passports,11176
2017-03-21,Total,16538
2017-03-22,New Zealand passport,6210
2017-03-22,Other passports,12335
2017-03-22,Total,18545
2017-03-23,New Zealand passport,6301
2017-03-23,Other passports,11831
2017-03-23,Total,18132
2017-03-24,New Zealand passport,7330
2017-03-24,Other passports,12798
2017-03-24,Total,20128
2017-03-25,New Zealand passport,6433
2017-03-25,Other passports,13735
2017-03-25,Total,20168
2017-03-26,New Zealand passport,5852
2017-03-26,Other passports,14214
2017-03-26,Total,20066
2017-03-27,New Zealand passport,7632
2017-03-27,Other passports,13424
2017-03-27,Total,21056
2017-03-28,New Zealand passport,5046
2017-03-28,Other passports,11085
2017-03-28,Total,16131
2017-03-29,New Zealand passport,5768
2017-03-29,Other passports,11470
2017-03-29,Total,17238
2017-03-30,New Zealand passport,6210
2017-03-30,Other passports,11195
2017-03-30,Total,17405
2017-03-31,New Zealand passport,7747
2017-03-31,Other passports,14759
2017-03-31,Total,22506
2017-04-01,New Zealand passport,6862
2017-04-01,Other passports,11606
2017-04-01,Total,18468
2017-04-02,New Zealand passport,7040
2017-04-02,Other passports,12874
2017-04-02,Total,19914
2017-04-03,New Zealand passport,6116
2017-04-03,Other passports,10502
2017-04-03,Total,16618
2017-04-04,New Zealand passport,5667
2017-04-04,Other passports,10409
2017-04-04,Total,16076
2017-04-05,New Zealand passport,6838
2017-04-05,Other passports,10453
2017-04-05,Total,17291
2017-04-06,New Zealand passport,7440
2017-04-06,Other passports,10002
2017-04-06,Total,17442
2017-04-07,New Zealand passport,8678
2017-04-07,Other passports,11508
2017-04-07,Total,20186
2017-04-08,New Zealand passport,8494
2017-04-08,Other passports,11155
2017-04-08,Total,19649
2017-04-09,New Zealand passport,7857
2017-04-09,Other passports,12637
2017-04-09,Total,20494
2017-04-10,New Zealand passport,7587
2017-04-10,Other passports,12654
2017-04-10,Total,20241
2017-04-11,New Zealand passport,7485
2017-04-11,Other passports,10788
2017-04-11,Total,18273
2017-04-12,New Zealand passport,10777
2017-04-12,Other passports,11024
2017-04-12,Total,21801
2017-04-13,New Zealand passport,12707
2017-04-13,Other passports,10173
2017-04-13,Total,22880
2017-04-14,New Zealand passport,13084
2017-04-14,Other passports,10531
2017-04-14,Total,23615
2017-04-15,New Zealand passport,10061
2017-04-15,Other passports,12697
